county,latitude,longitude,AQI,pollutant,category,color,distance_miles,updated
Albany,42.6524,-73.7506,,,No data,#e0e0e0,112.9,2026-07-31 10:05
Allegany,42.2244,-78.0334,,,No data,#e0e0e0,64.1,2026-07-31 10:05
Bronx,40.8223,-73.9204,,,No data,#e0e0e0,75.6,2026-07-31 10:05
Broome,41.867336,-75.686602,23.0,PM2.5,Good,#00e400,19.8,2026-07-31 10:05
Cattaraugus,41.843722,-79.172889,36.0,PM2.5,Good,#00e400,18.0,2026-07-31 10:05
Cayuga,42.9307,-76.5677,,,No data,#e0e0e0,84.7,2026-07-31 10:05
Chautauqua,41.843722,-79.172889,36.0,PM2.5,Good,#00e400,18.0,2026-07-31 10:05
Chemung,41.705226,-76.512726,36.0,PM2.5,Good,#00e400,30.8,2026-07-31 10:05
Chenango,41.867336,-75.686602,23.0,PM2.5,Good,#00e400,21.5,2026-07-31 10:05
Clinton,44.6979,-73.4552,,,No data,#e0e0e0,225.5,2026-07-31 10:05
Columbia,42.2508,-73.7879,,,No data,#e0e0e0,100.9,2026-07-31 10:05
Cortland,41.867336,-75.686602,23.0,PM2.5,Good,#00e400,58.9,2026-07-31 10:05
Delaware,41.867336,-75.686602,23.0,PM2.5,Good,#00e400,48.5,2026-07-31 10:05
Dutchess,41.7033,-73.9271,,,No data,#e0e0e0,89.5,2026-07-31 10:05
Erie,42.8854,-78.8783,,,No data,#e0e0e0,73.5,2026-07-31 10:05
Essex,44.2897,-73.3506,,,No data,#e0e0e0,204.7,2026-07-31 10:05
Franklin,44.8514,-74.2931,,,No data,#e0e0e0,217.7,2026-07-31 10:05
Fulton,43.051,-74.3425,,,No data,#e0e0e0,106.7,2026-07-31 10:05
Genesee,42.7987,-77.8191,,,No data,#e0e0e0,91.6,2026-07-31 10:05
Greene,42.2197,-73.8665,,,No data,#e0e0e0,96.5,2026-07-31 10:05
Hamilton,43.1778,-73.3969,,,No data,#e0e0e0,147.6,2026-07-31 10:05
Herkimer,43.0268,-74.9897,,,No data,#e0e0e0,87.6,2026-07-31 10:05
Jefferson,43.9734,-75.9087,,,No data,#e0e0e0,145.9,2026-07-31 10:05
Kings,40.692,-73.9918,,,No data,#e0e0e0,70.9,2026-07-31 10:05
Lewis,43.7875,-75.4873,,,No data,#e0e0e0,133.1,2026-07-31 10:05
Livingston,42.9085,-77.7476,,,No data,#e0e0e0,96.6,2026-07-31 10:05
Madison,42.9325,-75.8499,,,No data,#e0e0e0,74.1,2026-07-31 10:05
Monroe,43.1581,-77.6047,,,No data,#e0e0e0,109.9,2026-07-31 10:05
Montgomery,42.9759,-74.3617,,,No data,#e0e0e0,102.1,2026-07-31 10:05
Nassau,40.7289,-73.6358,,,No data,#e0e0e0,89.6,2026-07-31 10:05
New York,40.7491,-73.9924,,,No data,#e0e0e0,71.2,2026-07-31 10:05
Niagara,43.0948,-79.0535,,,No data,#e0e0e0,86.7,2026-07-31 10:05
Oneida,43.0981,-75.2264,,,No data,#e0e0e0,88.2,2026-07-31 10:05
Onondaga,43.0472,-76.1507,,,No data,#e0e0e0,84.9,2026-07-31 10:05
Ontario,42.8856,-77.278,,,No data,#e0e0e0,87.5,2026-07-31 10:05
Orange,41.1073,-74.1334,,,No data,#e0e0e0,71.3,2026-07-31 10:05
Orleans,42.9993,-76.9562,,,No data,#e0e0e0,92.2,2026-07-31 10:05
Oswego,43.4104,-76.6188,,,No data,#e0e0e0,116.7,2026-07-31 10:05
Otsego,42.6997,-74.9289,,,No data,#e0e0e0,69.3,2026-07-31 10:05
Putnam,41.3622,-73.5742,,,No data,#e0e0e0,105.2,2026-07-31 10:05
Queens,40.7663,-73.826,,,No data,#e0e0e0,79.9,2026-07-31 10:05
Rensselaer,42.6399,-73.739,,,No data,#e0e0e0,113.0,2026-07-31 10:05
Richmond,40.6406,-74.0817,,,No data,#e0e0e0,66.0,2026-07-31 10:05
Rockland,41.1073,-74.1334,,,No data,#e0e0e0,71.3,2026-07-31 10:05
St. Lawrence,44.9345,-74.8903,,,No data,#e0e0e0,215.7,2026-07-31 10:05
Saratoga,43.0822,-73.7872,,,No data,#e0e0e0,128.1,2026-07-31 10:05
Schoharie,42.6669,-74.1645,,,No data,#e0e0e0,95.4,2026-07-31 10:05
Schuyler,41.6447,-76.9392,39.0,PM2.5,Good,#00e400,54.8,2026-07-31 10:05
Seneca,42.9115,-76.8008,,,No data,#e0e0e0,84.6,2026-07-31 10:05
Steuben,41.6447,-76.9392,39.0,PM2.5,Good,#00e400,51.6,2026-07-31 10:05
Suffolk,40.8541,-73.1939,,,No data,#e0e0e0,113.5,2026-07-31 10:05
Sullivan,41.4428,-75.6231,46.0,PM2.5,Good,#00e400,50.4,2026-07-31 10:05
Tioga,41.705226,-76.512726,36.0,PM2.5,Good,#00e400,30.4,2026-07-31 10:05
Tompkins,41.705226,-76.512726,36.0,PM2.5,Good,#00e400,50.9,2026-07-31 10:05
Ulster,41.9308,-74.0139,,,No data,#e0e0e0,86.1,2026-07-31 10:05
Warren,43.4259,-73.7169,,,No data,#e0e0e0,147.0,2026-07-31 10:05
Washington,43.4039,-73.2638,,,No data,#e0e0e0,162.6,2026-07-31 10:05
Wayne,42.9993,-76.9562,,,No data,#e0e0e0,92.2,2026-07-31 10:05
Westchester,41.0337,-73.7665,,,No data,#e0e0e0,87.0,2026-07-31 10:05
Wyoming,42.8411,-77.964,,,No data,#e0e0e0,92.5,2026-07-31 10:05
Yates,42.6629,-77.0527,,,No data,#e0e0e0,70.6,2026-07-31 10:05
